area_code,plan,n_sms,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,customer_service_calls,customer_service_rating,customer_hapiness,churn
5.0,2.0,724,1365.9910205096285,203,50.44969100988872,681.6433010173874,140,33.122690239879226,157.63919766615854,53,25.16398829504731,14,8,0.2982344467545248,0
2.0,3.0,387,1253.3943974703516,158,77.05062031572734,437.9415333743019,88,20.629899860504143,220.1590290770937,32,58.17867786408285,0,8,0.4247395425164855,0
8.0,1.0,490,627.6870987813102,165,42.50816973295674,618.2319696863117,54,17.82678093120978,178.29800429758245,85,47.7851264906245,32,5,0.3788053651225149,1
3.0,1.0,822,601.8163333332079,115,72.02070683624693,605.2557585686305,106,27.550355779851,212.69552577462656,30,6.765252463410097,25,9,0.1750853024949594,0
1.0,2.0,455,951.0197149146788,140,44.88568548610784,320.53874278066144,75,25.2095410021838,217.36401077352843,98,25.80266903677904,36,6,0.612607456244283,0
9.0,3.0,644,893.8206184429321,247,44.66180945470697,507.34914672689285,151,22.74693216643937,333.76343057479625,64,0.0,0,7,0.9692917511435364,0
6.0,2.0,594,1210.1782576572523,169,38.250626659043846,735.5235975886661,17,21.21953606882989,195.1026705395376,78,5.34587064220075,0,10,0.262017600100017,0
7.0,1.0,133,365.9066103571747,231,43.58912190117521,234.3319676823612,0,31.366368872121644,144.18026386927562,70,12.260391719400127,0,8,0.798452248707425,0
3.0,3.0,102,126.48732434862006,0,47.35632123366568,601.6192847472288,44,27.590046133721327,261.7825303003787,94,26.766478001353715,0,10,0.99928866414926,0
1.0,2.0,442,409.2458841277643,195,58.90671601316125,803.4792548724475,187,30.507035482795597,168.94023739227148,62,40.123818200704726,0,5,0.4591319647034932,0
4.0,1.0,0,1597.4565256552364,118,35.9521007575818,484.21301048467126,145,32.67522442873605,181.835440723414,38,28.551693019085985,0,10,0.0109424101389514,0
9.0,2.0,423,1096.5597133929004,126,48.11653455763613,523.6725559093501,134,16.110833309477346,127.61966012546166,10,0.0,0,9,0.6390688903904249,0
2.0,3.0,610,838.1417453096346,74,33.50224530104268,655.9560479164525,213,34.00899433110796,352.0170313431344,64,45.80517404122596,1,7,0.8478495032889043,0
1.0,3.0,649,949.9428863549984,137,48.99475638664043,770.7553753711954,177,20.317585131181023,137.67981530868968,46,33.758718831161865,6,9,0.4609926997342787,0
3.0,3.0,0,1035.0887789440867,175,24.68806572828796,309.69088585318946,172,47.61216879898012,100.99247207876115,72,13.03552191214564,37,9,0.6051283982452917,0
6.0,3.0,424,1090.3114660452436,141,53.9915710223496,896.2497644596391,47,20.877963861007856,186.64659241171225,53,12.889187622166377,33,9,0.1970042271552865,0
1.0,1.0,502,772.0520910753778,140,67.21569805034594,435.4725290398191,210,41.21249157539285,121.98228657691338,25,0.0,1,5,0.7475013136610861,0
6.0,2.0,438,1442.814391285988,204,45.09583821441228,792.0305363725945,170,33.415204154455424,137.37325217706805,87,13.33559395789794,27,9,0.292957693584788,0
4.0,3.0,0,1028.066070587032,55,76.14633289951789,843.1593437043805,29,31.544388155413756,220.93753228892388,85,17.716052534603225,0,4,0.7103941585109113,0
6.0,3.0,393,1116.54178272817,147,48.771272469784336,538.1738970558861,113,33.86346063365626,229.7102927019583,72,45.19091653240275,88,9,0.8027667484139062,0
9.0,3.0,710,772.6953069171512,124,28.36771522174456,1053.449653465589,124,35.83088661844244,201.29889815024472,73,0.0,37,9,0.7462272568214217,0
6.0,2.0,30,647.4770771956624,126,62.58126999176797,649.228358818565,161,33.640174100864414,143.54646209202963,73,8.481114239389045,30,5,0.8280741995813381,0
2.0,2.0,340,838.9822151173223,58,48.24776409750852,1013.5304055313804,80,23.42373715015037,139.1969224949959,47,25.663952990529676,0,5,0.4218458546468082,0
3.0,3.0,295,825.5253584198601,138,46.975424755080994,692.0208021910529,128,18.31973619744996,125.5132935171278,50,0.0,2,8,0.5313785315412639,0
7.0,3.0,191,912.7596869974032,22,56.79105196763744,840.2169550548256,189,34.0248809645801,114.59565619013112,58,43.26094869019384,0,10,0.4581368365732438,0
2.0,3.0,9,852.5352590940441,120,42.2557769070344,765.5862577168796,105,25.62041189216817,163.54620126115577,80,35.026566405788415,0,10,0.5460631372489134,0
7.0,3.0,57,907.0698749465504,126,43.969649192361146,177.6811245132001,219,33.52581339556661,217.7414859098211,48,23.728396826714164,0,8,0.4588546980339775,0
6.0,3.0,413,856.2493419301596,131,34.9959827563347,603.4250778539604,147,29.03454344126002,165.31198940767726,55,7.752633980472669,39,8,0.246265705902586,0
8.0,1.0,365,996.6371332972608,156,64.48894042070039,576.9485556134482,191,47.775630345392656,45.3316979651196,55,0.0,20,8,0.0678777143355384,0
2.0,3.0,102,597.033049042821,132,32.67390617968396,876.9043472898112,251,27.098089173289743,350.9110005747619,20,42.55565752370129,34,8,0.6731992604320445,0
9.0,3.0,208,285.3303948959118,163,56.86954097592303,280.3720352210494,136,37.19793188194625,152.7905468710569,61,41.22875929385873,0,5,0.7636825362381604,0
9.0,3.0,429,997.2376468466508,259,65.46862907261163,771.7493137315072,126,26.92936459011781,225.3056307961874,65,38.19520715272132,0,9,0.5138801537472242,0
9.0,1.0,69,1109.1090518975227,201,29.300608320137368,410.8185170570267,186,30.76478353068618,220.2096792201747,99,12.17280868367285,0,7,0.3766377966768433,0
7.0,1.0,237,1337.9376807390563,107,44.46766115726732,663.5649725487337,112,51.81973510250116,169.2704391595377,47,11.848928680997425,35,9,0.4301903961667727,0
5.0,1.0,366,720.1681987697355,198,62.26213139105351,591.8856236945581,116,32.390702957650625,247.0305400507785,65,29.610029734348675,0,7,0.7974172420869102,0
1.0,2.0,384,1148.699022515705,231,48.1144744394577,732.896097057791,108,21.75883024686948,325.82736591307463,114,25.81559073377635,12,10,0.6116932892957323,0
9.0,3.0,216,942.5616606740545,101,58.31376642918797,744.5897931909856,239,30.265126323517205,148.21979209016257,84,16.225055869272325,0,7,0.2705501822740666,0
1.0,1.0,138,1123.8430486460895,118,67.08150929698792,506.650443183105,131,41.39970773162449,238.20666744498297,56,0.0,0,5,0.459674426571652,0
6.0,3.0,182,155.7765627266375,86,43.00712386252259,618.110021599879,138,37.664702361797374,161.51477164877247,39,106.65388002628268,6,8,0.026906846899748,0
7.0,2.0,157,594.7186013417925,40,58.71611271893176,490.7269145981029,146,24.88383025551357,43.00701410743328,50,43.63474984156329,3,7,0.5577432564467045,0
9.0,3.0,418,710.2331836110492,180,52.37724111543447,507.2784277323724,71,28.0318512580061,257.3627599743192,87,55.45182625880199,0,9,0.6319975835793884,0
2.0,1.0,540,574.8107801408473,66,54.89832502939099,306.83625389727405,138,23.2849844816914,244.72061704453492,92,0.0,0,8,0.5124705023810437,0
6.0,2.0,0,980.3612779898764,88,62.776341334043295,594.1143790554084,200,26.345051442805456,169.29692250378244,62,51.99681948171244,12,10,0.5223138004569324,0
9.0,2.0,156,607.3528611119758,104,37.51593844731466,258.0764027639248,125,23.253564128113304,239.0828581760317,81,39.09212573010991,46,7,0.2937251953352353,0
5.0,2.0,584,1045.601654527447,102,62.32892912152546,325.8741997602188,150,28.30741676575529,273.6673773150418,38,0.0,0,8,0.6733533979454408,0
7.0,3.0,653,653.2938925706786,140,62.60257677331393,688.7912912822527,61,16.785459805899343,130.69906044125906,79,28.71684719534652,12,8,0.0664839938870451,0
8.0,2.0,252,174.1328772064602,177,9.748285486876272,551.1890151449254,104,38.85781518106087,293.6845580672106,85,43.61128747999816,0,8,0.330883818748543,0
3.0,2.0,394,1072.3627714429938,63,41.088328074595125,891.2157966485162,92,26.607223449551903,223.82861278634343,25,54.97431243930592,46,9,0.5778054260783413,0
2.0,1.0,375,588.814753181235,164,59.21128339990433,579.040099588739,133,19.74746345479342,212.71592003015732,68,3.668754779328373,0,7,0.0337308151769317,0
9.0,3.0,469,1247.0226483934798,172,39.86223072266098,682.1459039513934,163,34.2988310768189,278.3690776243139,96,24.81048529130309,0,10,0.3212814651681355,0
9.0,1.0,137,1306.6079780297994,135,54.572353820185214,668.9712915693179,282,48.18316170451919,187.13600280773483,86,0.0,0,9,0.037532227978099,0
