churn,total_day_minutes,n_sms,total_eve_minutes,total_eve_calls,customer_service_rating,customer_happiness,customer_service_calls
0,15,12,22,3,3,3,0
0,17,9,23,23,1,0,0
0,18,12,18,35,3,14,0
1,18,32,19,29,3,0,5
0,17,13,9,9,3,5,3
0,18,39,14,47,3,11,2
0,18,7,16,12,3,6,0
0,18,28,38,14,2,0,0
0,18,27,8,35,2,9,4
0,17,23,34,46,2,4,2
0,0,33,37,21,3,10,0
0,18,12,23,0,3,5,2
0,17,2,13,21,2,12,4
0,17,20,36,39,2,16,0
0,17,23,10,22,1,6,0
0,18,21,35,41,1,18,0
0,18,0,3,31,1,18,4
0,17,12,32,21,3,2,0
0,19,27,29,13,2,16,0
0,17,35,6,1,1,1,2
0,16,28,15,35,3,5,3
0,18,4,6,18,3,7,4
0,17,13,27,47,2,11,2
0,17,32,39,32,1,15,0
0,17,4,38,41,1,8,0
0,17,1,10,1,1,14,0
0,18,35,13,10,2,4,4
0,17,32,9,42,1,14,0
0,16,18,21,15,2,17,0
0,18,19,1,37,3,18,1
0,18,0,4,42,3,3,0
0,17,3,26,49,2,2,0
0,17,26,41,36,3,10,0
0,16,4,19,21,3,17,0
0,17,21,10,13,3,4,0
0,16,0,2,12,3,7,3
0,10,36,33,34,3,2,0
0,18,32,42,8,3,16,0
1,17,28,39,8,1,10,5
0,17,38,26,21,3,15,4
0,17,12,10,6,3,11,0
0,18,30,29,23,1,15,0
0,16,1,2,12,1,0,2
0,18,3,21,8,3,15,0
0,17,27,31,14,3,10,0
0,18,22,18,9,2,1,0
0,16,3,23,45,3,8,0
0,13,25,38,7,3,10,0
0,18,25,24,32,3,19,0
0,13,5,33,48,3,3,2
1,16,13,6,11,3,1,5
0,15,19,14,7,3,19,0
0,16,34,21,1,3,10,3
0,18,18,42,9,1,18,2
0,18,24,17,39,2,5,0
0,17,3,16,42,3,19,0
0,17,21,8,32,3,19,0
0,18,6,1,10,2,1,0
0,17,24,2,8,3,3,1
0,16,3,41,41,3,1,3
0,18,35,23,33,2,7,0
1,17,28,29,8,3,8,5
0,19,32,42,24,3,8,2
0,19,0,20,28,3,8,0
0,16,21,38,32,2,12,0
0,15,14,32,46,3,9,0
0,11,5,12,9,2,4,2
0,17,14,21,41,3,17,0
0,17,5,39,21,3,1,4
0,18,33,24,21,3,3,4
0,18,0,17,16,3,14,0
0,16,31,37,1,3,14,4
1,16,21,29,2,1,10,3
0,18,33,0,27,3,5,0
0,16,24,36,36,1,0,0
0,16,5,29,13,2,3,0
0,16,21,23,6,3,5,0
0,17,6,43,16,3,7,0
0,16,17,34,23,2,3,0
0,17,29,0,29,2,10,0
0,17,19,21,2,2,5,3
0,18,13,41,17,1,7,1
0,16,12,27,13,2,13,3
0,18,18,29,46,1,9,0
0,18,0,8,3,3,19,0
0,16,22,17,31,2,13,0
0,17,1,40,16,3,11,4
0,18,37,9,30,3,1,4
0,17,37,27,7,3,9,0
0,18,6,10,39,2,4,0
0,17,18,10,41,3,18,3
0,15,2,26,0,2,1,0
0,16,34,18,23,3,13,0
0,18,0,34,9,3,7,0
0,5,25,33,0,3,4,0
0,15,31,18,23,2,13,0
0,18,18,9,26,2,18,0
0,17,29,7,23,3,8,0
0,17,16,24,32,2,0,0
0,18,22,33,9,3,13,3
0,17,9,23,11,2,1,4
0,17,2,6,31,3,15,4
0,17,23,25,14,3,9,4
0,16,2,18,23,3,5,0
0,19,25,27,15,2,9,2
1,17,3,40,32,3,0,3
0,16,19,28,38,3,17,3
0,17,0,26,28,2,19,0
1,16,31,35,25,0,5,3
0,18,29,24,37,2,2,0
0,17,16,39,3,3,16,0
0,16,5,21,44,2,15,2
0,18,29,18,24,3,10,0
0,18,7,30,27,1,7,1
0,18,30,27,15,2,18,0
0,17,19,36,14,1,8,0
0,17,30,39,29,3,12,0
0,18,39,8,12,1,9,0
0,17,36,27,33,2,7,0
0,16,24,21,41,3,11,0
0,15,1,18,21,2,2,4
0,17,0,27,2,3,4,2
1,18,35,34,2,1,9,5
0,18,14,12,9,3,14,3
0,18,38,35,31,3,16,2
0,18,32,40,23,3,17,3
0,16,24,22,43,3,2,0
1,18,0,27,34,3,4,5
0,18,7,29,20,3,18,3
0,15,9,4,10,3,14,2
0,18,0,1,30,2,9,0
0,15,36,36,7,2,3,0
1,17,28,33,28,3,1,5
0,17,26,21,29,3,16,0
0,0,33,29,28,2,18,0
0,18,16,11,10,2,16,0
1,17,7,35,49,2,15,5
0,16,13,37,2,3,12,0
0,17,15,4,18,3,4,0
0,17,28,29,5,3,6,4
0,18,32,34,13,3,14,0
0,19,30,25,26,3,19,0
0,17,1,38,1,3,2,0
0,18,20,11,45,2,17,0
0,17,22,21,42,2,4,0
0,18,38,33,48,3,6,0
0,16,12,9,20,2,5,0
0,14,37,28,10,1,4,0
0,17,33,35,28,2,7,0
0,18,32,26,35,1,10,0
0,16,0,37,28,1,18,4
0,15,20,20,44,2,4,4
0,18,1,29,31,2,17,3
0,17,1,11,36,2,11,0
0,16,34,14,39,1,18,0
1,16,3,16,29,3,0,4
0,16,2,42,24,3,3,0
0,18,27,11,12,2,10,0
0,18,9,40,29,1,18,0
0,18,9,34,46,2,17,4
0,19,34,37,44,3,6,2
0,17,22,35,21,3,0,0
0,17,17,27,36,3,8,0
0,16,26,41,26,2,3,0
0,18,0,15,20,1,14,0
